RECORD NO.(Order)	Paid Date	Amount Paid	Foreign Currency Paid	Invoice Number	Invoice Date	Voucher Number	Sub From	Sub To	Copies	Note
o1000361	2/02/2021	472.7	eur273.84	7196802	13/11/2020	141091	1/01/2021	31/12/2021	1	2021
o1000361	28/02/2020	465.04	eur266.15	7184835	30/10/2019	139355	2/01/2020	1/01/2021	1	2020
o1000361	17/01/2019	446.1	eur260.88	7172977	24/10/2018	136851	1/01/2019	31/12/2019	1	2019
o1000361	4/12/2017	424.99	eur260.41	7160378	1/11/2017	134230	1/01/2018	31/12/2018	1	2018
o1000361	20/12/2016	391.53	eur255.4	7146374	30/11/2016	131756	1/01/2017	31/12/2017	1	2017
o1000361	7/12/2015	411.7	eur245.06	7134801	2/12/2015	128898	1/01/2016	31/12/2016	1	2016
o1000361	25/11/2014	422.15	eur257.41	7119639	21/11/2014	125715	1/01/2015	31/12/2015	1	2015
o1000361	28/11/2013	404.36	eur242.13	7102958	15/11/2013	122196	1/01/2014	31/12/2014	1	2014
o1000361	20/12/2012	397.3	eur232.34	7093553	21/11/2012	118913	1/01/2013	31/12/2013	1	2013
o1000361	21/12/2011	383.31	eur219.41	7083977	9/12/2011	115034	1/01/2012	31/12/2012	1	2012
o1000361	16/12/2010	415.99	usd295.36	7076351	1/12/2010	110621			1	2011
o1000361	11/11/2009	318.8	usd184.91	0317546	25/10/2009	106166	1/01/2010	31/12/2010	1	2010                 !18256247
o1000361	27/11/2008	202.59	usd147.89	0227554	9/11/2008	101247	1/01/2009	31/12/2009	1	2009
o1000361	10/12/2007	248.4	usd190.43	0122289	11/11/2007	95893			1	2008
o1000361	10/10/2006	243.25	usd155.68	5003381	24/09/2006	89295			1	2007                 !182
o1000361	17/10/2005	220.58	usd151.75	6015851	21/09/2005	82637			1	2006                 !182
o1000361	2/11/2004	199.41	usd135.2	5073679	13/10/2004	75671			1	2005 V 38            !182
o1000361	19/11/2003	195.49	usd121.5	4073609	10/11/2003	69579			1	2004 V 37            !182
o1000361	12/12/2002	221.03	usd109.64	3095667	5/12/2002	63682			1	2003 V 36            !182
o1000361	25/10/2001	284.39	aud230.84	205448	24/09/2001	56457			1	v.35 2002
o1000361	8/11/2000	283.19	aud214	179397	21/09/2000	50350			1	v.34 2001
o1000361	5/11/1999	241.24	aud190	160814	26/09/1999	42970			1	v.33 2000
o1000361	7/12/1998	245.82	aud204	146592	21/09/1998	36814			1	v.32 1999
o1000361	13/03/1998	21.11	aud18	22522	16/02/1998	30800			1	addit. charge 1998
o1000361	20/11/1997	173.16	aud152	134839	7/11/1997	27773			1	v.31 1998
o1000361	24/02/1997	6.7	aud6	19703	7/02/1997	21023			1	Add inv.117209
o1000361	1/10/1996	145.01	aud127	117209	16/09/1996	17112			1	v.30 1997
o1000361	22/11/1995	157.3	aud135	103675	7/10/1995	10965			1	v.29 1996
o1000361	27/06/1995	123.48	aud113.5	15795	19/06/1995	8042			1	Add 1995
o1000361	19/10/1994	27.78	aud22.5	85291	12/09/1994	2971			1	1995
o1000361	21/03/1994	131.3	cad98	1496	21/01/1994	92			1	v.27(1994)
o1000409	22/01/2020	25.22		402176	19/12/2019	139080	1/01/2020	31/12/2020	1	2020\
o1000409	6/05/2019	21.74		NZM/NZR2019	19/12/2018	137662	1/01/2019	31/12/2019	1	2019\
o1000409	2/02/2018	17.39		NZM/NZR2018	30/01/2018	134716	1/01/2018	31/12/2018	1	2018\
o1000409	25/01/2017	15.48		NZM/NZR2017	24/01/2017	131954	1/01/2017	31/12/2017	1	2017\
o1000409	3/09/2015	30.17		483923	25/08/2015	128167	1/11/2015	31/10/2016	1	Nov15-Oct16\
o1000409	9/04/2014	60.35		NZM-483923-14	7/04/2014	123393	1/11/2013	31/10/2015	1	Nov13-Oct15 (2 years)\
o1000409	7/04/2014	-30.17		NZM025	18/04/2013	123365			1	"reversed, payment not received\"
o1000409	29/04/2013	30.17		NZM025	18/04/2013	120105			1	2013/14\
o1000409	29/05/2012	30.17		NZM015	23/05/2012	116814			1	Sep12-Aug13\
o1000409	6/05/2011	38.74		HP06.05.11-4	2/05/2011	112202			1	2011\
o1000409	19/07/2010	35.56		HP19.07.10	19/07/2010	109026			1	9/10-8/11\
o1000409	19/11/2008	69.33		21498	11/11/2008	101116			1	12/08-11/09\
o1000409	12/02/2007	69.33		 	12/01/2007	91184			1	2007\
o1000409	16/08/2005	67.96		 	9/08/2005	81291			1	10/8/05-8/8/06\
o1000409	27/07/2004	67.96		 	14/07/2004	73823			1	9/04-8/05\
o1000409	10/06/2003	67.96		 	10/01/2003	66524			1	9/03-8/04\
o1000409	10/07/2002	57.78		  36562	10/01/2002	60695			1	9/02-8/03\
o1000409	26/06/2001	46.54		 	26/01/2001	54422			1	9/01-8/02\
o1000409	14/06/2000	67.56		  	1/06/2000	47223			1	9/00-8/01\
o1000409	20/04/1999	76		  	6/04/1999	39308			1	7/99-6/2000\
o1000409	24/04/1998	84.45		  	24/01/1998	31723			1	7/98-6/99\
o1000409	9/04/1997	69.78		  	9/01/1997	22229			1	7/97-6/98\
o1000409	7/05/1996	69.78		 	23/04/1996	14089			1	6/96-5/97\
o1000409	24/04/1996	69.78		 	26/03/1996	13800			1	6/96-5/97\
o1000409	11/04/1995	69.78		 	28/03/1995	6371			1	6/95-5/96\
o1000409	11/04/1995	69.78		 	28/03/1995	6370			1	6/95-5/96\
o1000409	11/04/1995	69.78		 	28/03/1995	6369			1	6/95-5/96\
o1000409	23/03/1994	69.78		 	7/03/1994	106			1	6/94-5/95\
o1000409	23/03/1994	139.56		 	7/03/1994	106			2	6/94-5/95\
o1000418	2/02/2021	339.44	gbp173.76	7197275	13/11/2020	141095	1/01/2021	31/12/2021	1	2021
o1000418	28/02/2020	363.16	gbp174.43	7184838	13/11/2019	139366	2/01/2020	1/01/2021	1	2020
o1000418	17/01/2019	332.47	gbp174.07	7172982	24/10/2018	136858	1/01/2019	31/12/2019	1	2019
o1000418	19/11/2018	68.4	gbp36	1900640	13/11/2018	136580	1/01/2018	31/12/2018	1	"Jan, Feb & Mar18 backcopies"
o1000418	4/12/2017	312.45	gbp173.68	7160391	20/10/2017	134233	1/01/2018	31/12/2018	1	2018
o1000418	20/12/2016	311.23	gbp173.58	7146378	30/11/2016	131758	1/01/2017	31/12/2017	1	2017
o1000418	27/11/2015	393.62	gbp167.07	7134804	13/11/2015	128833	1/01/2016	31/12/2016	1	2016
o1000418	25/11/2014	344.81	gbp164.98	7119534	21/11/2014	125717	1/01/2015	31/12/2015	1	2015
o1000418	2/12/2013	329.08	gbp164.54	7103012	15/11/2013	122225	1/01/2014	31/12/2014	1	2014
o1000418	20/12/2011	330.1	gbp162.85	7084332	9/12/2011	114995	1/04/2012	31/03/2013	1	Apr12-Mar13
o1000418	16/12/2010	347.66	gbp162.46	7076371	1/12/2010	110617	1/04/2011	31/03/2012	1	(04/11)-(03/12)!D2605953
o1000418	11/11/2009	344.18	gbp149.1	0317739	25/10/2009	106162	1/04/2010	31/03/2011	1	Apr 2010 - Mar 2011  !38759104
o1000418	25/11/2008	419.76	gbp149.1	0227768	9/11/2008	101182	1/04/2009	31/03/2010	1	Apr 2009 - Mar
o1000418	10/12/2007	348.18	gbp131.44	0122469	11/11/2007	95890			1	Apr 2008 - Mar
o1000418	19/04/2007	358.24	gbp131.44	0067658	8/04/2007	92216			1	4/07-3/08
o1000418	19/04/2007	-131.44		6200067658	8/04/2007	92215			1	wrong cur.\
o1000418	18/04/2007	131.44		0067658	8/04/2007	92194			1	Apr 2007 - Mar 2008  !38\
o1000418	25/10/2006	-642.79	gbp-224.72	6515004161	9/10/2006	89557			1	Credit inv.6015858
o1000418	17/10/2005	579.01	gbp224.72	6015858	21/09/2005	82649			1	Sep 19 2006          !908
o1000418	14/09/2005	-59.24	gbp-22.47	S5.900-685	7/09/2005	81911			1	Overcharged inv.5073687
o1000418	2/11/2004	671.34	gbp247.19	5073687	13/10/2004	75686			1	Sep 19 2005          !908
o1000418	19/08/2004	636.95	gbp224.72	4856670	11/08/2004	74293			1	19 Sep 2004 - 18 Sep !908
o1000418	24/09/2003	628.59	gbp224.72	3840285	17/09/2003	68395			1	19 Sep 2003 - 18 Sep !908
o1000418	14/05/2002	737.47	gbp222.6	2784390	3/05/2002	59527			1	Jul 2002 - Jun 2003  !908
o1000418	16/05/2001	547	gbp158.55	1766643	4/05/2001	53660			1	Jul 2001 - Jun 2002  !908
o1000418	1/10/1999	432.79	gbp138.75	7161047	20/09/1999	42392			1	7/00-06/01
o1000418	15/12/1998	416.4	gbp131	6460296	12/10/1998	36950			1	7/99-06/00
o1000418	27/05/1998	90.47	gbp29.7	6065494	11/05/1998	32493			1	7/98-06/99
o1000418	7/11/1997	355.38	gbp130	5466088	22/09/1997	27564			1	7/98-06/99
o1000418	4/06/1997	14.44	gbp6	5279873	12/05/1997	23605			1	7/97-06/98
o1000418	7/10/1996	282.94	gbp125	4734585	23/09/1996	17273			1	7/97-06/98
o1000418	22/05/1996	26.63	gbp12	94448744	15/04/1996	14294			1	Add 7/96-6/97
o1000418	19/12/1995	268.22	gbp113	93967276	18/09/1995	11459			1	7/96-6/97
o1000418	26/04/1995	7.51	gbp3	93721188	10/04/1995	6653			1	7/95-6/96
o1000418	16/01/1995	271.74	gbp110	93255373	19/09/1994	4688			1	7/95-6/96
o1000418	23/03/1994	291.85	gbp110	99963701	7/03/1994	105			1	7/94-6/95
o1000418	22/03/1994	-110		-99963701	7/03/1994	104			1	\
o1000418	22/03/1994	110		99963701	7/03/1994	103			1	7/94-6/95\
o1000422	22/02/2021	423.83	usd298.85	7200127	17/02/2021	141199	1/06/2021	31/05/2022	1	Jun21-May22
o1000422	4/03/2020	509.34	gbp242.9	7188869	21/02/2020	139434	1/06/2020	31/05/2021	1	Jun20-May21
o1000422	18/02/2019	449.84	gbp235.52	7176075	13/02/2019	137179	1/06/2019	31/05/2020	1	Jun19-May20
o1000422	8/02/2018	386	gbp213.26	7164093	2/02/2018	134756	1/06/2018	31/05/2019	1	Jun18-May19
o1000422	7/02/2017	425.66	gbp237.4	7152114	3/02/2017	132038	1/06/2017	31/05/2018	1	Jun17-May18
o1000422	16/02/2016	488.3	gbp207.26	7139135	12/02/2016	129365	24/04/2016	23/04/2017	1	24Apr16-23Apr17
o1000422	4/02/2015	371.77	gbp177.88	7127355	30/01/2015	126268	24/04/2015	23/04/2016	1	24Apr15-23Apr16
o1000422	22/06/2012	510.37	gbp241.88	7089209	20/06/2012	117040			1	Nov12-Oct13
o1000422	15/06/2011	485.6	gbp241.88	7082065	25/05/2011	112639			1	Nov 2011-Oct 2012
o1000422	15/09/2010	538.8	gbp252.38	0406184	5/09/2010	109671	6/10/2010	5/10/2011	1	Oct 06 2010          !89384024
o1000422	11/11/2009	581.81	gbp252.04	0317739	25/10/2009	106162	6/10/2009	5/10/2010	1	Oct 06 2009          !89384024
o1000422	24/09/2008	344.94	gbp127.8	0211713	7/09/2008	100168	6/10/2008	5/10/2009	1	Oct 06 2008          !89384024
o1000422	3/10/2007	373.23	gbp136.38	0108265	16/09/2007	94775			1	Oct 06 2007
o1000422	19/09/2006	386.24	gbp134.68	5000449	10/09/2006	88934			1	Oct 06 2006          !893
o1000422	14/09/2005	350.54	gbp132.96	6012944	7/09/2005	81921			1	Oct 06 2005          !893
o1000422	27/09/2004	359.34	gbp131.2	S4.886-230	8/09/2004	75046			1	6 Oct 2004 - 5 Oct 2005
o1000422	24/09/2003	363.64	gbp130	3840285	17/09/2003	68395			1	6 Oct 2003 - 5 Oct 20!893
o1000422	3/10/2002	426.64	gbp126	2640343	17/09/2002	62357			1	6 Oct 2002 - 5 Oct 20!893
o1000422	11/10/2001	409.96	gbp114.45	1897141	28/09/2001	56285			1	6 Oct 2001 - 5 Oct 20!893
o1000422	7/06/2000	349.84	gbp105.58	7744697	19/05/2000	47099			1	10/00-10/01
o1000422	20/07/1999	308.47	gbp103	7076058	12/07/1999	40921			1	10/99-09/00
o1000422	10/07/1998	344.36	gbp105.58	6119403	22/06/1998	33443			1	10/98-09/99
o1000422	25/07/1997	-261.66	gbp-105.58	95329021	16/06/1997	24912			1	inv. paid twice
o1000422	21/07/1997	261.66	gbp105.58	5329021	16/06/1997	24743			1	10/97-09/98
o1000422	14/07/1997	261.66	gbp105.58	5329021	16/06/1997	24559			1	10/97-09/98
o1000422	18/07/1996	227.79	gbp99.43	4566224	18/01/1996	15314			1	10/96-09/97
o1000422	21/12/1995	236.01	gbp99.43	93967276	18/09/1995	11516			1	6/96-5/97
o1000422	18/07/1995	238.99	gbp99.43	93856241	26/06/1995	8522			1	7.10.95-28.9.9
o1000422	8/05/1995	12.41	gbp5.13	93674201	13/03/1995	6840			1	Add 6/95-5/96
o1000422	17/01/1995	227.28	gbp92	93255373	19/09/1994	4702			1	6/95-5/96
o1000422	30/08/1994	239.9	gbp92	93166516	18/07/1994	1863			1	10/94-9/95
o1000422	23/03/1994	47.76	gbp18	99963701	7/03/1994	105			1	1994 addit
o1000422	22/03/1994	-18		-99963701	7/03/1994	104			1	\
o1000422	22/03/1994	18		99963701	7/03/1994	103			1	6/94-5/95 Addit.\
o1000766	2/02/2021	927.44	gbp474.76	7197275	13/11/2020	141095	1/01/2021	31/12/2021	1	2021
o1000766	28/02/2020	945.08	gbp453.93	7184838	13/11/2019	139366	2/01/2020	1/01/2021	1	2020
o1000766	17/01/2019	753.4	gbp394.45	7172982	24/10/2018	136858	1/01/2019	31/12/2019	1	2019
o1000766	4/12/2017	708.9	gbp394.05	7160391	20/10/2017	134233	1/01/2018	31/12/2018	1	2018
o1000766	20/12/2016	658.17	gbp367.08	7146378	30/11/2016	131758	1/01/2017	31/12/2017	1	2017
o1000766	27/11/2015	849.5	gbp360.57	7134804	13/11/2015	128833	1/01/2016	31/12/2016	1	2016
o1000766	25/11/2014	693.06	gbp331.61	7119534	21/11/2014	125717	1/01/2015	31/12/2015	1	2015
o1000766	2/12/2013	662.32	gbp331.16	7103012	15/11/2013	122225	1/01/2014	31/12/2014	1	2014
o1000766	21/12/2012	628.21	gbp297.73	7093557	21/11/2012	118939	1/01/2013	31/12/2013	1	2013
o1000766	20/12/2011	548	gbp270.35	7084332	9/12/2011	114995	1/01/2012	31/12/2012	1	2012
o1000766	16/12/2010	520.21	gbp243.09	7076371	1/12/2010	110617	1/01/2011	31/12/2011	1	20(01/11)-20(12/11)!D2667991
o1000766	11/11/2009	544.92	gbp236.06	0317739	25/10/2009	106162	1/01/2010	31/12/2010	1	2010                 !89027302
o1000766	28/04/2009	27.83	gbp10.65	0275795	5/04/2009	103296	1/01/2009	31/12/2009	1	2009                 !89027302
o1000766	25/11/2008	628.68	gbp223.31	0227768	9/11/2008	101182	1/01/2009	31/12/2009	1	2009
o1000766	10/12/2007	585.91	gbp221.18	0122469	11/11/2007	95890			1	2008
o1000766	24/04/2007	-41.78	gbp-15.33	6200075347	10/04/2007	92299			1	cred. 2007
o1000766	10/10/2006	675.08	gbp234.32	5003369	24/09/2006	89291			1	2007                 !890
o1000766	24/05/2006	424.78	gbp137.8	6807502	10/05/2006	86883			1	2006                 !890
o1000766	17/10/2005	204.84	gbp79.5	6015858	21/09/2005	82649			1	2006                 !8902
o1000766	2/11/2004	201.52	gbp74.2	5073687	13/10/2004	75686			1	2005 V 14            !8902
o1000766	29/10/2003	208.84	gbp74.2	4009978	9/10/2003	69172			1	2004                 !8902
o1000766	26/11/2002	235.25	gbp74.2	3061041	5/11/2002	63373			1	2003                 !8902
o1000766	6/11/2001	261.81	gbp73.5	2030788	16/10/2001	56627			1	2002 V 11            !8902
o1000766	11/12/2000	252.93	gbp73.5	1060453	7/11/2000	50912			1	2001                 !8902
o1000766	1/10/1999	300.22	gbp96.25	7161039	20/09/1999	42393			1	9(01/00)-9(12/00)
o1000766	19/10/1998	319.56	gbp92.77	6328460	21/09/1998	35737			1	8(01/99)-8(12/99)
o1000766	7/11/1997	264.79	gbp96.86	5466061	22/09/1997	27565			1	7(01/98)-7(12/98)
o1000766	8/10/1996	226.35	gbp100	4734577	23/09/1996	17295			1	6(01/97)-6(12/97)
o1000766	28/09/1995	171.34	gbp71.43	93967276	18/09/1995	9983			1	v.5 1996
o1000766	20/12/1994	177.21	gbp70.51	93255373	19/09/1994	4387			1	v.4 1995
o1000766	13/07/1994	233.68	gbp88.03	93043694	18/04/1994	813			1	v.3 1994
o1000769	22/02/2021	116.57	aud105.86	7200120	17/02/2021	141195	1/06/2021	31/05/2022	1	Jun21-May22
o1000769	4/03/2020	120.88	aud113.84	7188868	21/02/2020	139435	1/06/2020	31/05/2021	1	Jun20-May21
o1000769	18/02/2019	129.14	aud121.83	7176074	13/02/2019	137175	1/06/2019	31/05/2020	1	Jun19-May20
o1000769	4/12/2017	127.68	aud116.48	7160379	18/10/2017	134231	1/01/2018	31/12/2018	1	2018
o1000769	21/12/2016	123.42	aud116.21	7146375	30/11/2016	131759	1/01/2017	31/12/2017	1	2017
o1000769	27/11/2015	131.37	aud115.75	7134802	13/11/2015	128830	1/01/2016	31/12/2016	1	2016
o1000769	21/11/2014	120.51	aud106.76	7119532	14/11/2014	125689	1/01/2015	31/12/2015	1	2015
o1000769	28/11/2013	115.09	aud101.85	7102960	15/11/2013	122194	1/01/2014	31/12/2014	1	2014
o1000769	21/12/2012	126.31	aud96.42	7093555	21/11/2012	118938	1/01/2013	31/12/2013	1	2013
o1000769	21/12/2011	127.2	aud95.71	7083979	9/12/2011	115036			1	2012
o1000769	22/12/2010	140.88	aud105.77	7076361	1/12/2010	110685			1	2011
o1000769	25/11/2009	115.53	aud90.53	0317690	25/10/2009	106407	1/01/2010	31/12/2010	1	2010                 !18257138
o1000769	25/11/2009	-90.53		6200317690	25/10/2009	106389			1	incorr curr\
o1000769	10/11/2009	90.53		0317690	25/10/2009	106156	1/01/2010	31/12/2010	1	2010                 !18257138\
o1000769	25/11/2008	107.75	aud90.53	0227671	9/11/2008	101161	1/01/2009	31/12/2009	1	2009
o1000769	5/12/2007	104.9	aud89.79	0122426	11/11/2007	95799			1	2008
o1000769	9/10/2006	90.77	aud79.5	5003354	24/09/2006	89266			1	2007 V 22            !1825
o1000769	17/10/2005	86.83	aud79.5	6015863	21/09/2005	82621			1	2006 V 21            !1825
o1000769	2/11/2004	100.94	aud91.58	5073692	13/10/2004	75657			1	2005                 !1825
o1000769	19/11/2003	97.95	aud84.8	4073622	10/11/2003	69594			1	2004 V 19            !1825
o1000769	12/12/2002	95.74	aud84.8	3095675	5/12/2002	63732			1	2003 V 18            !1825
o1000769	25/10/2001	135.52	aud110	205448	24/09/2001	56457			1	v.17 2002
o1000769	8/11/2000	121.74	aud92	179397	21/09/2000	50350			1	v.16 2001
o1000769	5/11/1999	116.81	aud92	160814	26/09/1999	42970			1	v.15 2000
o1000769	7/12/1998	84.35	aud70	146592	21/09/1998	36814			1	v.14 1999
o1000769	8/12/1997	78.42	aud70	131731	20/09/1997	28436			1	v.13 1998
o1000769	1/10/1996	79.93	aud70	117209	16/09/1996	17112			1	v.12 1997
o1000769	17/08/1995	44.09	aud40	16080	25/07/1995	9097			1	Extend sub 7/96-12/96
o1000769	15/05/1995	76.26	aud70	95310	1/04/1995	7036			1	8/95-7/96
o1000769	29/03/1994	113.42	aud90	 	14/03/1994	119			1	5/94-4/95
o1000782	29/11/2021	1209.67	usd808.93	M523569	25/11/2021	142593			1	
o1000782	7/12/2020	1386.19	usd950.62	676065	25/11/2020	140772			1	
o1000782	13/01/2020	1405.44	usd922.93	303642	1/01/2020	138942			1	2020
o1000782	29/01/2019	1317.2	usd890	614242	18/08/2018	137051	1/01/2019	31/12/2019	1	2019
o1000782	20/06/2018	1238.08	usd848	614242	19/06/2018	135733	1/01/2018	31/12/2018	1	2018
o1000782	24/02/2016	1397.2	usd918	497177	3/02/2016	129430	1/01/2016	31/12/2016	1	2016
o1000782	28/10/2014	307.49	usd238.92	67527	13/10/2014	125444			1	v.124 2014
o1000782	25/07/2014	289.11	usd248.59	53261	13/07/2014	124432			1	v.123 2014
o1000782	30/04/2014	278.93	usd228.63	39658	13/04/2014	123508			1	v.122 2014
o1000782	25/02/2014	278.93	usd228.63	34902	13/02/2014	122930			1	v.121 2014
o1000782	29/11/2013	281.21	usd228.63	53380	13/11/2013	122214			1	v.120 2013
o1000782	24/09/2013	276.64	usd228.63	48930	13/09/2013	121624			1	v.119 2013
o1000782	17/07/2013	307	usd234.89	34024	13/07/2013	121020			1	v.118 2013
o1000782	27/06/2013	307.28	usd235.1	95468	13/06/2013	120693			1	v.117 2013
o1000782	15/01/2013	293.37	usd220.58	88029	13/12/2012	119063			1	v.116 2012
o1000782	21/11/2012	277.56	usd208.69	88778	13/11/2012	118648			1	v.108 2010
o1000782	21/11/2012	277.53	usd208.67	88777	13/11/2012	118647			1	v.107 2010
o1000782	21/11/2012	277.53	usd208.67	88776	13/11/2012	118646			1	v.106 2010
o1000782	21/11/2012	277.53	usd208.67	88775	13/11/2012	118645			1	v.105 2010
o1000782	25/07/2012	295.79	usd222.4	71539	13/07/2012	117429			1	v.115 2012
o1000782	25/05/2012	296.14	usd222.66	35252	13/05/2012	116782			1	v.114 2012
o1000782	28/03/2012	271.18	usd217.29	57610	13/03/2012	116144			1	v.113 2012
o1000782	9/02/2012	269.18	usd215.69	30691	13/01/2012	115505			1	v.112 2011
o1000782	17/01/2012	280.9	usd216.08	85318	13/12/2011	115209			1	v.111 2011
o1000782	7/11/2011	273.86	usd214.29	45967	13/09/2011	114387			1	2011 v.110
o1000782	22/07/2011	318.02	usd225.8	0038433	13/07/2011	113192			1	2011 v.109
o1000782	24/03/2010	276.3	gbp128.2	0355936	7/03/2010	107738	1/01/2009	31/12/2009	1	2009 V 104           !38386275
o1000782	11/11/2009	314.63	gbp136.3	0317739	25/10/2009	106162	1/01/2009	31/12/2009	1	2009 V 102           !38386275
o1000782	11/11/2009	313.13	gbp135.65	0317739	25/10/2009	106162	1/01/2009	31/12/2009	1	2009 V 101           !38386275
o1000782	11/11/2009	310.57	gbp134.54	0317739	25/10/2009	106162	1/01/2008	31/12/2008	1	2008 V 100           !38386275
o1000782	11/11/2009	312	gbp135.16	0317739	25/10/2009	106162	1/01/2008	31/12/2008	1	2008 V 99            !38386275
o1000782	11/11/2009	313.16	gbp135.66	0317739	25/10/2009	106162	1/01/2008	31/12/2008	1	2008 V 97            !38386275
o1000782	11/11/2009	314.17	gbp136.1	0317739	25/10/2009	106162	1/01/2007	31/12/2007	1	2007 V 95            !38386275
o1000782	28/04/2009	387.85	gbp148.43	0275796	5/04/2009	103297	1/01/2008	31/12/2008	1	2008 V 98            !38386275
o1000782	3/04/2008	349.48	gbp136.65	6200169012	9/03/2008	97536			1	2007 v.96
o1000782	3/04/2008	-136.65		0169012	9/03/2008	97533			1	currency error\
o1000782	2/04/2008	136.65		0169012	9/03/2008	97516			1	2007 V 96            !38386275\
o1000782	19/10/2007	309.59	gbp116.32	6200112522	7/10/2007	95084			1	2007 v.94
o1000782	7/08/2007	322.7	gbp119.95	0098128	8/07/2007	93768			1	2007 V 93
o1000782	27/02/2007	302.81	gbp107.59	0055651	11/02/2007	91497			1	2006 V 92            !383
o1000782	12/12/2006	281.25	gbp97.31	6515017574	3/12/2006	90335			1	2006 v.91
o1000782	16/08/2006	316.54	gbp104.55	6873172	9/08/2006	88441			1	2006 V 90            !383
o1000782	2/08/2006	389.68	gbp127	6832640	8/06/2006	88147			1	2006 v.89
o1000782	24/05/2006	357.12	gbp115.85	6807499	10/05/2006	86880			1	2005 V 88            !383
o1000782	12/12/2005	262.14	gbp103.6	6147012	7/12/2005	83841			1	2004 V 83            !383
o1000782	1/12/2005	270.36	gbp108.36	6114406	22/11/2005	83569			1	2004 V 84            !383
o1000782	17/10/2005	259.75	gbp100.81	6060092	12/10/2005	82616			1	2005 V 87            !383
o1000782	15/06/2005	260.82	gbp100.29	5844799	8/06/2005	80032			1	2005 V 86            !383
o1000782	21/02/2005	267.78	gbp100.82	5685247	9/02/2005	77843			1	2004 V 85            !383
o1000782	12/05/2004	305.25	gbp102.75	4741601	5/05/2004	72534			1	2004 V 82            !383
o1000782	10/03/2004	290.65	gbp104.84	4661023	3/03/2004	71499			1	2003 V 81            !383
o1000782	3/10/2002	484.04	usd224.51	2640337	17/09/2002	62351			1	2002 V 80            !383
o1000782	14/05/2002	304.49	usd135.09	2784384	3/05/2002	59521			1	2001 V 79            !383
o1000782	11/10/2001	323.47	usd131.76	1897135	28/09/2001	56279			1	2001 V 78            !383
o1000782	14/06/2001	304.99	usd123.23	1821295	5/06/2001	54238			1	2001 V 77            !383
o1000782	13/12/2000	299.96	usd125.19	1091008	5/12/2000	50972			1	10 Nov 2000 - 9 Nov 2!383
o1000782	11/12/2000	256.49	usd108.04	1060447	7/11/2000	50840			1	2000 V 75            !383
o1000782	29/03/2000	208.79	usd100.68	0720325	8/03/2000	45794			1	2000 V 74            !383
o1000782	1/10/1999	206.44	usd106.5	0027574	13/09/1999	42396			1	1999 V 73            !383
o1000782	13/07/1999	197.22	usd103.99	9802090	29/06/1999	40793			1	1999 V 72            !383
o1000782	25/03/1999	190.35	usd98.47	9711330	5/03/1999	38849			1	1999 V 71            !3838
o1000782	17/11/1998	221.96	usd115.82	9067221	5/11/1998	36369			1	1998 V 70            !383
o1000782	8/10/1998	227.59	usd112.45	S9.013-164	11/09/1998	35545			1	v.69 1998
o1000782	18/06/1998	207.97	usd108.52	S8.707-910	15/05/1998	32906			1	1998 v.68
o1000782	16/03/1998	186.87	usd108.07	8149093	10/02/1998	30851			1	1997 Volume 67
o1000782	30/01/1998	205.69	usd115.5	8107396	12/01/1998	29929			1	1997 Volume 66
o1000782	22/10/1997	152.9	usd97.06	8014493	5/09/1997	27090			1	1997 Volume 65
o1000782	21/08/1997	179.89	usd114.28	S7.168-933	27/06/1997	25673			1	v.64 1997
o1000782	20/12/1996	208.68	usd147.06	7073942	12/06/1996	19529			1	1996 Volume 63
o1000782	2/10/1996	166.55	usd115.25	7014710	9/10/1996	17137			1	1996 Volume 62
o1000782	19/07/1996	176.57	usd119.82	S6.131-329	24/06/1996	15323			1	v.61 1996
o1000782	1/04/1996	180.69	usd121.98	S6.088-789	12/02/1996	13416			1	v.60 1995
o1000782	1/11/1995	189.48	usd123.37	S6.011-806	25/09/1995	10495			1	v.59 1995
o1000782	11/07/1995	190.98	usd126.81	S5.120.533	26/06/1995	8396			1	v.58 1995
o1000782	6/12/1994	176.37	usd102.7	398472	23/09/1999	3894			1	v.56
o1000782	29/03/1994	177.99	usd93.66	318596	25/02/1994	126			1	v.55 1994
o1000783	29/11/2021	534.92	usd357.71	M523569	25/11/2021	142593			1	
o1000783	7/12/2020	613.67	usd420.84	676065	25/11/2020	140772			1	
o1000783	13/01/2020	622.19	usd408.58	303642	1/01/2020	138942			1	2020
o1000783	29/01/2019	583.12	usd394	614242	18/08/2018	137051	1/01/2019	31/12/2019	1	2019
o1000783	20/06/2018	547.5	usd375	614242	19/06/2018	135733	1/01/2018	31/12/2018	1	2018
o1000783	24/02/2016	490.85	usd322.5	497177	3/02/2016	129430	1/01/2016	31/12/2016	1	2016
o1000783	26/02/2014	385.17	usd315.71	34903	13/02/2014	122961			1	v.66 2014
o1000783	5/03/2013	355.39	usd296.16	42826	13/02/2013	119602			1	v.65 2013
o1000783	26/04/2012	379.45	usd304.05	81373	13/04/2012	116404			1	v.64 2012
o1000783	7/11/2011	376.43	usd294.55	45968	13/09/2011	114388			1	2011 v.63
o1000783	25/08/2009	471.03	gbp192.32	0302621	9/08/2009	104962	1/01/2007	31/12/2007	1	2007 V 60            !38386283
o1000783	14/05/2008	-292.09	gbp-113.42	6200187134	4/05/2008	98125			1	Credit inv.0089049
