RECORD NO.(Order)	Column1	Paid Date	Amount Paid	Foreign Currency Paid	Invoice Number	Invoice Date	Sub From	Sub To	Copies	Note
o10003617	30	2021-02-02	472.7	eur273.84	7196802	2020-11-13	2021-01-01	2021-12-31	1	2021
o10003617	29	2020-02-28	465.04	eur266.15	7184835	2019-10-30	2020-01-02	2021-01-01	1	2020
o10003617	28	2019-01-17	446.1	eur260.88	7172977	2018-10-24	2019-01-01	2019-12-31	1	2019
o10003617	27	2017-12-04	424.99	eur260.41	7160378	2017-11-01	2018-01-01	2018-12-31	1	2018
o10003617	26	2016-12-20	391.53	eur255.40	7146374	2016-11-30	2017-01-01	2017-12-31	1	2017
o10003617	25	2015-12-07	411.7	eur245.06	7134801	2015-12-02	2016-01-01	2016-12-31	1	2016
o10003617	24	2014-11-25	422.15	eur257.41	7119639	2014-11-21	2015-01-01	2015-12-31	1	2015
o10003617	23	2013-11-28	404.36	eur242.13	7102958	2013-11-15	2014-01-01	2014-12-31	1	2014
o10003617	22	2012-12-20	397.3	eur232.34	7093553	2012-11-21	2013-01-01	2013-12-31	1	2013
o10003617	21	2011-12-21	383.31	eur219.41	7083977	2011-12-09	2012-01-01	2012-12-31	1	2012
o10003617	20	2010-12-16	415.99	usd295.36	7076351	2010-12-01	\N	\N	1	2011
o10003617	19	2009-11-11	318.8	usd184.91	0317546	2009-10-25	2010-01-01	2010-12-31	1	2010                 !18256247
o10003617	18	2008-11-27	202.59	usd147.89	0227554	2008-11-09	2009-01-01	2009-12-31	1	2009
o10003617	17	2007-12-10	248.4	usd190.43	0122289	2007-11-11	\N	\N	1	2008
o10003617	16	2006-10-10	243.25	usd155.68	5003381	2006-09-24	\N	\N	1	2007                 !182
o10003617	15	2005-10-17	220.58	usd151.75	6015851	2005-09-21	\N	\N	1	2006                 !182
o10003617	14	2004-11-02	199.41	usd135.20	5073679	2004-10-13	\N	\N	1	2005 V 38            !182
o10003617	13	2003-11-19	195.49	usd121.50	4073609	2003-11-10	\N	\N	1	2004 V 37            !182
o10003617	12	2002-12-12	221.03	usd109.64	3095667	2002-12-05	\N	\N	1	2003 V 36            !182
o10003617	11	2001-10-25	284.39	aud230.84	205448	2001-09-24	\N	\N	1	v.35 2002
o10003617	10	2000-11-08	283.19	aud214.00	179397	2000-09-21	\N	\N	1	v.34 2001
o10003617	9	1999-11-05	241.24	aud190.00	160814	1999-09-26	\N	\N	1	v.33 2000
o10003617	8	1998-12-07	245.82	aud204.00	146592	1998-09-21	\N	\N	1	v.32 1999
o10003617	7	1998-03-13	21.11	aud18.00	22522	1998-02-16	\N	\N	1	addit. charge 1998
o10003617	6	1997-11-20	173.16	aud152.00	134839	1997-11-07	\N	\N	1	v.31 1998
o10003617	5	1997-02-24	6.7	aud6.00	19703	1997-02-07	\N	\N	1	Add inv.117209
o10003617	4	1996-10-01	145.01	aud127.00	117209	1996-09-16	\N	\N	1	v.30 1997
o10003617	3	1995-11-22	157.3	aud135.00	103675	1995-10-07	\N	\N	1	v.29 1996
o10003617	2	1995-06-27	123.48	aud113.50	15795	1995-06-19	\N	\N	1	Add 1995
o10003617	1	1994-10-19	27.78	aud22.50	85291	1994-09-12	\N	\N	1	1995
o10003617	0	1994-03-21	131.3	cad98.00	1496	1994-01-21	\N	\N	1	v.27(1994)
o10004099	28	2020-01-22	25.22		402176	2019-12-19	2020-01-01	2020-12-31	1	2020\
o10004099	27	2019-05-06	21.74		NZM/NZR2019	2018-12-19	2019-01-01	2019-12-31	1	2019\
o10004099	26	2018-02-02	17.39		NZM/NZR2018	2018-01-30	2018-01-01	2018-12-31	1	2018\
o10004099	25	2017-01-25	15.48		NZM/NZR2017	2017-01-24	2017-01-01	2017-12-31	1	2017\
o10004099	24	2015-09-03	30.17		483923	2015-08-25	2015-11-01	2016-10-31	1	Nov15-Oct16\
o10004099	23	2014-04-09	60.35		NZM-483923-14	2014-04-07	2013-11-01	2015-10-31	1	Nov13-Oct15 (2 years)\
o10004099	22	2014-04-07	-30.17		NZM025	2013-04-18	\N	\N	1	"reversed, payment not received\"
o10004099	21	2013-04-29	30.17		NZM025	2013-04-18	\N	\N	1	2013/14\
o10004099	20	2012-05-29	30.17		NZM015	2012-05-23	\N	\N	1	Sep12-Aug13\
o10004099	19	2011-05-06	38.74		HP06.05.11-4	2011-05-02	\N	\N	1	2011\
o10004099	18	2010-07-19	35.56		HP19.07.10	2010-07-19	\N	\N	1	9/10-8/11\
o10004099	17	2008-11-19	69.33		21498	2008-11-11	\N	\N	1	12/08-11/09\
o10004099	16	2007-02-12	69.33		 	2007-01-12	\N	\N	1	2007\
o10004099	15	2005-08-16	67.96		 	2005-08-09	\N	\N	1	10/8/05-8/8/06\
o10004099	14	2004-07-27	67.96		 	2004-07-14	\N	\N	1	9/04-8/05\
o10004099	13	2003-06-10	67.96		 	2003-01-10	\N	\N	1	9/03-8/04\
o10004099	12	2002-07-10	57.78		  36562	2002-01-10	\N	\N	1	9/02-8/03\
o10004099	11	2001-06-26	46.54		 	2001-01-26	\N	\N	1	9/01-8/02\
o10004099	10	2000-06-14	67.56		  	2000-06-01	\N	\N	1	9/00-8/01\
o10004099	9	1999-04-20	76		  	1999-04-06	\N	\N	1	7/99-6/2000\
o10004099	8	1998-04-24	84.45		  	1998-01-24	\N	\N	1	7/98-6/99\
o10004099	7	1997-04-09	69.78		  	1997-01-09	\N	\N	1	7/97-6/98\
o10004099	6	1996-05-07	69.78		 	1996-04-23	\N	\N	1	6/96-5/97\
o10004099	5	1996-04-24	69.78		 	1996-03-26	\N	\N	1	6/96-5/97\
o10004099	4	1995-04-11	69.78		 	1995-03-28	\N	\N	1	6/95-5/96\
o10004099	3	1995-04-11	69.78		 	1995-03-28	\N	\N	1	6/95-5/96\
o10004099	2	1995-04-11	69.78		 	1995-03-28	\N	\N	1	6/95-5/96\
o10004099	1	1994-03-23	69.78		 	1994-03-07	\N	\N	1	6/94-5/95\
o10004099	0	1994-03-23	139.56		 	1994-03-07	\N	\N	2	6/94-5/95\
o1000418x	37	2021-02-02	339.44	gbp173.76	7197275	2020-11-13	2021-01-01	2021-12-31	1	2021
o1000418x	36	2020-02-28	363.16	gbp174.43	7184838	2019-11-13	2020-01-02	2021-01-01	1	2020
o1000418x	35	2019-01-17	332.47	gbp174.07	7172982	2018-10-24	2019-01-01	2019-12-31	1	2019
o1000418x	34	2018-11-19	68.4	gbp36.00	1900640	2018-11-13	2018-01-01	2018-12-31	1	"Jan, Feb & Mar18 backcopies"
o1000418x	33	2017-12-04	312.45	gbp173.68	7160391	2017-10-20	2018-01-01	2018-12-31	1	2018
o1000418x	32	2016-12-20	311.23	gbp173.58	7146378	2016-11-30	2017-01-01	2017-12-31	1	2017
o1000418x	31	2015-11-27	393.62	gbp167.07	7134804	2015-11-13	2016-01-01	2016-12-31	1	2016
o1000418x	30	2014-11-25	344.81	gbp164.98	7119534	2014-11-21	2015-01-01	2015-12-31	1	2015
o1000418x	29	2013-12-02	329.08	gbp164.54	7103012	2013-11-15	2014-01-01	2014-12-31	1	2014
o1000418x	28	2011-12-20	330.1	gbp162.85	7084332	2011-12-09	2012-04-01	2013-03-31	1	Apr12-Mar13
o1000418x	27	2010-12-16	347.66	gbp162.46	7076371	2010-12-01	2011-04-01	2012-03-31	1	(04/11)-(03/12)!D2605953
o1000418x	26	2009-11-11	344.18	gbp149.10	0317739	2009-10-25	2010-04-01	2011-03-31	1	Apr 2010 - Mar 2011  !38759104
o1000418x	25	2008-11-25	419.76	gbp149.10	0227768	2008-11-09	2009-04-01	2010-03-31	1	Apr 2009 - Mar
o1000418x	24	2007-12-10	348.18	gbp131.44	0122469	2007-11-11	\N	\N	1	Apr 2008 - Mar
o1000418x	23	2007-04-19	358.24	gbp131.44	0067658	2007-04-08	\N	\N	1	4/07-3/08
o1000418x	22	2007-04-19	-131.44		6200067658	2007-04-08	\N	\N	1	wrong cur.\
o1000418x	21	2007-04-18	131.44		0067658	2007-04-08	\N	\N	1	Apr 2007 - Mar 2008  !38\
o1000418x	20	2006-10-25	-642.79	gbp-224.72	6515004161	2006-10-09	\N	\N	1	Credit inv.6015858
o1000418x	19	2005-10-17	579.01	gbp224.72	6015858	2005-09-21	\N	\N	1	Sep 19 2006          !908
o1000418x	18	2005-09-14	-59.24	gbp-22.47	S5.900-685	2005-09-07	\N	\N	1	Overcharged inv.5073687
o1000418x	17	2004-11-02	671.34	gbp247.19	5073687	2004-10-13	\N	\N	1	Sep 19 2005          !908
o1000418x	16	2004-08-19	636.95	gbp224.72	4856670	2004-08-11	\N	\N	1	19 Sep 2004 - 18 Sep !908
o1000418x	15	2003-09-24	628.59	gbp224.72	3840285	2003-09-17	\N	\N	1	19 Sep 2003 - 18 Sep !908
o1000418x	14	2002-05-14	737.47	gbp222.60	2784390	2002-05-03	\N	\N	1	Jul 2002 - Jun 2003  !908
o1000418x	13	2001-05-16	547	gbp158.55	1766643	2001-05-04	\N	\N	1	Jul 2001 - Jun 2002  !908
o1000418x	12	1999-10-01	432.79	gbp138.75	7161047	1999-09-20	\N	\N	1	7/00-06/01
o1000418x	11	1998-12-15	416.4	gbp131.00	6460296	1998-10-12	\N	\N	1	7/99-06/00
o1000418x	10	1998-05-27	90.47	gbp29.70	6065494	1998-05-11	\N	\N	1	7/98-06/99
o1000418x	9	1997-11-07	355.38	gbp130.00	5466088	1997-09-22	\N	\N	1	7/98-06/99
o1000418x	8	1997-06-04	14.44	gbp6.00	5279873	1997-05-12	\N	\N	1	7/97-06/98
o1000418x	7	1996-10-07	282.94	gbp125.00	4734585	1996-09-23	\N	\N	1	7/97-06/98
o1000418x	6	1996-05-22	26.63	gbp12.00	94448744	1996-04-15	\N	\N	1	Add 7/96-6/97
o1000418x	5	1995-12-19	268.22	gbp113.00	93967276	1995-09-18	\N	\N	1	7/96-6/97
o1000418x	4	1995-04-26	7.51	gbp3.00	93721188	1995-04-10	\N	\N	1	7/95-6/96
o1000418x	3	1995-01-16	271.74	gbp110.00	93255373	1994-09-19	\N	\N	1	7/95-6/96
o1000418x	2	1994-03-23	291.85	gbp110.00	99963701	1994-03-07	\N	\N	1	7/94-6/95
o1000418x	1	1994-03-22	-110		-99963701	1994-03-07	\N	\N	1	\
o1000418x	0	1994-03-22	110		99963701	1994-03-07	\N	\N	1	7/94-6/95\
o10004221	33	2021-02-22	423.83	usd298.85	7200127	2021-02-17	2021-06-01	2022-05-31	1	Jun21-May22
o10004221	32	2020-03-04	509.34	gbp242.90	7188869	2020-02-21	2020-06-01	2021-05-31	1	Jun20-May21
o10004221	31	2019-02-18	449.84	gbp235.52	7176075	2019-02-13	2019-06-01	2020-05-31	1	Jun19-May20
o10004221	30	2018-02-08	386	gbp213.26	7164093	2018-02-02	2018-06-01	2019-05-31	1	Jun18-May19
o10004221	29	2017-02-07	425.66	gbp237.40	7152114	2017-02-03	2017-06-01	2018-05-31	1	Jun17-May18
o10004221	28	2016-02-16	488.3	gbp207.26	7139135	2016-02-12	2016-04-24	2017-04-23	1	24Apr16-23Apr17
o10004221	27	2015-02-04	371.77	gbp177.88	7127355	2015-01-30	2015-04-24	2016-04-23	1	24Apr15-23Apr16
o10004221	26	2012-06-22	510.37	gbp241.88	7089209	2012-06-20	\N	\N	1	Nov12-Oct13
o10004221	25	2011-06-15	485.6	gbp241.88	7082065	2011-05-25	\N	\N	1	Nov 2011-Oct 2012
o10004221	24	2010-09-15	538.8	gbp252.38	0406184	2010-09-05	2010-10-06	2011-10-05	1	Oct 06 2010          !89384024
o10004221	23	2009-11-11	581.81	gbp252.04	0317739	2009-10-25	2009-10-06	2010-10-05	1	Oct 06 2009          !89384024
o10004221	22	2008-09-24	344.94	gbp127.80	0211713	2008-09-07	2008-10-06	2009-10-05	1	Oct 06 2008          !89384024
o10004221	21	2007-10-03	373.23	gbp136.38	0108265	2007-09-16	\N	\N	1	Oct 06 2007
o10004221	20	2006-09-19	386.24	gbp134.68	5000449	2006-09-10	\N	\N	1	Oct 06 2006          !893
o10004221	19	2005-09-14	350.54	gbp132.96	6012944	2005-09-07	\N	\N	1	Oct 06 2005          !893
o10004221	18	2004-09-27	359.34	gbp131.20	S4.886-230	2004-09-08	\N	\N	1	6 Oct 2004 - 5 Oct 2005
o10004221	17	2003-09-24	363.64	gbp130.00	3840285	2003-09-17	\N	\N	1	6 Oct 2003 - 5 Oct 20!893
o10004221	16	2002-10-03	426.64	gbp126.00	2640343	2002-09-17	\N	\N	1	6 Oct 2002 - 5 Oct 20!893
o10004221	15	2001-10-11	409.96	gbp114.45	1897141	2001-09-28	\N	\N	1	6 Oct 2001 - 5 Oct 20!893
o10004221	14	2000-06-07	349.84	gbp105.58	7744697	2000-05-19	\N	\N	1	10/00-10/01
o10004221	13	1999-07-20	308.47	gbp103.00	7076058	1999-07-12	\N	\N	1	10/99-09/00
o10004221	12	1998-07-10	344.36	gbp105.58	6119403	1998-06-22	\N	\N	1	10/98-09/99
o10004221	11	1997-07-25	-261.66	gbp-105.58	95329021	1997-06-16	\N	\N	1	inv. paid twice
o10004221	10	1997-07-21	261.66	gbp105.58	5329021	1997-06-16	\N	\N	1	10/97-09/98
o10004221	9	1997-07-14	261.66	gbp105.58	5329021	1997-06-16	\N	\N	1	10/97-09/98
o10004221	8	1996-07-18	227.79	gbp99.43	4566224	1996-01-18	\N	\N	1	10/96-09/97
o10004221	7	1995-12-21	236.01	gbp99.43	93967276	1995-09-18	\N	\N	1	6/96-5/97
o10004221	6	1995-07-18	238.99	gbp99.43	93856241	1995-06-26	\N	\N	1	7.10.95-28.9.9
o10004221	5	1995-05-08	12.41	gbp5.13	93674201	1995-03-13	\N	\N	1	Add 6/95-5/96
o10004221	4	1995-01-17	227.28	gbp92.00	93255373	1994-09-19	\N	\N	1	6/95-5/96
o10004221	3	1994-08-30	239.9	gbp92.00	93166516	1994-07-18	\N	\N	1	10/94-9/95
o10004221	2	1994-03-23	47.76	gbp18.00	99963701	1994-03-07	\N	\N	1	1994 addit
o10004221	1	1994-03-22	-18		-99963701	1994-03-07	\N	\N	1	\
o10004221	0	1994-03-22	18		99963701	1994-03-07	\N	\N	1	6/94-5/95 Addit.\
o10007660	30	2021-02-02	927.44	gbp474.76	7197275	2020-11-13	2021-01-01	2021-12-31	1	2021
o10007660	29	2020-02-28	945.08	gbp453.93	7184838	2019-11-13	2020-01-02	2021-01-01	1	2020
o10007660	28	2019-01-17	753.4	gbp394.45	7172982	2018-10-24	2019-01-01	2019-12-31	1	2019
o10007660	27	2017-12-04	708.9	gbp394.05	7160391	2017-10-20	2018-01-01	2018-12-31	1	2018
o10007660	26	2016-12-20	658.17	gbp367.08	7146378	2016-11-30	2017-01-01	2017-12-31	1	2017
o10007660	25	2015-11-27	849.5	gbp360.57	7134804	2015-11-13	2016-01-01	2016-12-31	1	2016
o10007660	24	2014-11-25	693.06	gbp331.61	7119534	2014-11-21	2015-01-01	2015-12-31	1	2015
o10007660	23	2013-12-02	662.32	gbp331.16	7103012	2013-11-15	2014-01-01	2014-12-31	1	2014
o10007660	22	2012-12-21	628.21	gbp297.73	7093557	2012-11-21	2013-01-01	2013-12-31	1	2013
o10007660	21	2011-12-20	548	gbp270.35	7084332	2011-12-09	2012-01-01	2012-12-31	1	2012
o10007660	20	2010-12-16	520.21	gbp243.09	7076371	2010-12-01	2011-01-01	2011-12-31	1	20(01/11)-20(12/11)!D2667991
o10007660	19	2009-11-11	544.92	gbp236.06	0317739	2009-10-25	2010-01-01	2010-12-31	1	2010                 !89027302
o10007660	18	2009-04-28	27.83	gbp10.65	0275795	2009-04-05	2009-01-01	2009-12-31	1	2009                 !89027302
o10007660	17	2008-11-25	628.68	gbp223.31	0227768	2008-11-09	2009-01-01	2009-12-31	1	2009
o10007660	16	2007-12-10	585.91	gbp221.18	0122469	2007-11-11	\N	\N	1	2008
o10007660	15	2007-04-24	-41.78	gbp-15.33	6200075347	2007-04-10	\N	\N	1	cred. 2007
o10007660	14	2006-10-10	675.08	gbp234.32	5003369	2006-09-24	\N	\N	1	2007                 !890
o10007660	13	2006-05-24	424.78	gbp137.80	6807502	2006-05-10	\N	\N	1	2006                 !890
o10007660	12	2005-10-17	204.84	gbp79.50	6015858	2005-09-21	\N	\N	1	2006                 !8902
o10007660	11	2004-11-02	201.52	gbp74.20	5073687	2004-10-13	\N	\N	1	2005 V 14            !8902
o10007660	10	2003-10-29	208.84	gbp74.20	4009978	2003-10-09	\N	\N	1	2004                 !8902
o10007660	9	2002-11-26	235.25	gbp74.20	3061041	2002-11-05	\N	\N	1	2003                 !8902
o10007660	8	2001-11-06	261.81	gbp73.50	2030788	2001-10-16	\N	\N	1	2002 V 11            !8902
o10007660	7	2000-12-11	252.93	gbp73.50	1060453	2000-11-07	\N	\N	1	2001                 !8902
o10007660	6	1999-10-01	300.22	gbp96.25	7161039	1999-09-20	\N	\N	1	9(01/00)-9(12/00)
o10007660	5	1998-10-19	319.56	gbp92.77	6328460	1998-09-21	\N	\N	1	8(01/99)-8(12/99)
o10007660	4	1997-11-07	264.79	gbp96.86	5466061	1997-09-22	\N	\N	1	7(01/98)-7(12/98)
o10007660	3	1996-10-08	226.35	gbp100.00	4734577	1996-09-23	\N	\N	1	6(01/97)-6(12/97)
o10007660	2	1995-09-28	171.34	gbp71.43	93967276	1995-09-18	\N	\N	1	v.5 1996
o10007660	1	1994-12-20	177.21	gbp70.51	93255373	1994-09-19	\N	\N	1	v.4 1995
o10007660	0	1994-07-13	233.68	gbp88.03	93043694	1994-04-18	\N	\N	1	v.3 1994
o10007696	29	2021-02-22	116.57	aud105.86	7200120	2021-02-17	2021-06-01	2022-05-31	1	Jun21-May22
o10007696	28	2020-03-04	120.88	aud113.84	7188868	2020-02-21	2020-06-01	2021-05-31	1	Jun20-May21
o10007696	27	2019-02-18	129.14	aud121.83	7176074	2019-02-13	2019-06-01	2020-05-31	1	Jun19-May20
o10007696	26	2017-12-04	127.68	aud116.48	7160379	2017-10-18	2018-01-01	2018-12-31	1	2018
o10007696	25	2016-12-21	123.42	aud116.21	7146375	2016-11-30	2017-01-01	2017-12-31	1	2017
o10007696	24	2015-11-27	131.37	aud115.75	7134802	2015-11-13	2016-01-01	2016-12-31	1	2016
o10007696	23	2014-11-21	120.51	aud106.76	7119532	2014-11-14	2015-01-01	2015-12-31	1	2015
o10007696	22	2013-11-28	115.09	aud101.85	7102960	2013-11-15	2014-01-01	2014-12-31	1	2014
o10007696	21	2012-12-21	126.31	aud96.42	7093555	2012-11-21	2013-01-01	2013-12-31	1	2013
o10007696	20	2011-12-21	127.2	aud95.71	7083979	2011-12-09	\N	\N	1	2012
o10007696	19	2010-12-22	140.88	aud105.77	7076361	2010-12-01	\N	\N	1	2011
o10007696	18	2009-11-25	115.53	aud90.53	0317690	2009-10-25	2010-01-01	2010-12-31	1	2010                 !18257138
o10007696	17	2009-11-25	-90.53		6200317690	2009-10-25	\N	\N	1	incorr curr\
o10007696	16	2009-11-10	90.53		0317690	2009-10-25	2010-01-01	2010-12-31	1	2010                 !18257138\
o10007696	15	2008-11-25	107.75	aud90.53	0227671	2008-11-09	2009-01-01	2009-12-31	1	2009
o10007696	14	2007-12-05	104.9	aud89.79	0122426	2007-11-11	\N	\N	1	2008
o10007696	13	2006-10-09	90.77	aud79.50	5003354	2006-09-24	\N	\N	1	2007 V 22            !1825
o10007696	12	2005-10-17	86.83	aud79.50	6015863	2005-09-21	\N	\N	1	2006 V 21            !1825
o10007696	11	2004-11-02	100.94	aud91.58	5073692	2004-10-13	\N	\N	1	2005                 !1825
o10007696	10	2003-11-19	97.95	aud84.80	4073622	2003-11-10	\N	\N	1	2004 V 19            !1825
o10007696	9	2002-12-12	95.74	aud84.80	3095675	2002-12-05	\N	\N	1	2003 V 18            !1825
o10007696	8	2001-10-25	135.52	aud110.00	205448	2001-09-24	\N	\N	1	v.17 2002
o10007696	7	2000-11-08	121.74	aud92.00	179397	2000-09-21	\N	\N	1	v.16 2001
o10007696	6	1999-11-05	116.81	aud92.00	160814	1999-09-26	\N	\N	1	v.15 2000
o10007696	5	1998-12-07	84.35	aud70.00	146592	1998-09-21	\N	\N	1	v.14 1999
o10007696	4	1997-12-08	78.42	aud70.00	131731	1997-09-20	\N	\N	1	v.13 1998
o10007696	3	1996-10-01	79.93	aud70.00	117209	1996-09-16	\N	\N	1	v.12 1997
o10007696	2	1995-08-17	44.09	aud40.00	16080	1995-07-25	\N	\N	1	Extend sub 7/96-12/96
o10007696	1	1995-05-15	76.26	aud70.00	95310	1995-04-01	\N	\N	1	8/95-7/96
o10007696	0	1994-03-29	113.42	aud90.00	 	1994-03-14	\N	\N	1	5/94-4/95
o10007829	75	2021-11-29	1209.67	usd808.93	M523569	2021-11-25	\N	\N	1	
o10007829	74	2020-12-07	1386.19	usd950.62	676065	2020-11-25	\N	\N	1	
o10007829	73	2020-01-13	1405.44	usd922.93	303642	2020-01-01	\N	\N	1	2020
o10007829	72	2019-01-29	1317.2	usd890.00	614242	2018-08-18	2019-01-01	2019-12-31	1	2019
o10007829	71	2018-06-20	1238.08	usd848.00	614242	2018-06-19	2018-01-01	2018-12-31	1	2018
o10007829	70	2016-02-24	1397.2	usd918.00	497177	2016-02-03	2016-01-01	2016-12-31	1	2016
o10007829	69	2014-10-28	307.49	usd238.92	67527	2014-10-13	\N	\N	1	v.124 2014
o10007829	68	2014-07-25	289.11	usd248.59	53261	2014-07-13	\N	\N	1	v.123 2014
o10007829	67	2014-04-30	278.93	usd228.63	39658	2014-04-13	\N	\N	1	v.122 2014
o10007829	66	2014-02-25	278.93	usd228.63	34902	2014-02-13	\N	\N	1	v.121 2014
o10007829	65	2013-11-29	281.21	usd228.63	53380	2013-11-13	\N	\N	1	v.120 2013
o10007829	64	2013-09-24	276.64	usd228.63	48930	2013-09-13	\N	\N	1	v.119 2013
o10007829	63	2013-07-17	307	usd234.89	34024	2013-07-13	\N	\N	1	v.118 2013
o10007829	62	2013-06-27	307.28	usd235.10	95468	2013-06-13	\N	\N	1	v.117 2013
o10007829	61	2013-01-15	293.37	usd220.58	88029	2012-12-13	\N	\N	1	v.116 2012
o10007829	60	2012-11-21	277.56	usd208.69	88778	2012-11-13	\N	\N	1	v.108 2010
o10007829	59	2012-11-21	277.53	usd208.67	88777	2012-11-13	\N	\N	1	v.107 2010
o10007829	58	2012-11-21	277.53	usd208.67	88776	2012-11-13	\N	\N	1	v.106 2010
o10007829	57	2012-11-21	277.53	usd208.67	88775	2012-11-13	\N	\N	1	v.105 2010
o10007829	56	2012-07-25	295.79	usd222.40	71539	2012-07-13	\N	\N	1	v.115 2012
o10007829	55	2012-05-25	296.14	usd222.66	35252	2012-05-13	\N	\N	1	v.114 2012
o10007829	54	2012-03-28	271.18	usd217.29	57610	2012-03-13	\N	\N	1	v.113 2012
o10007829	53	2012-02-09	269.18	usd215.69	30691	2012-01-13	\N	\N	1	v.112 2011
o10007829	52	2012-01-17	280.9	usd216.08	85318	2011-12-13	\N	\N	1	v.111 2011
o10007829	51	2011-11-07	273.86	usd214.29	45967	2011-09-13	\N	\N	1	2011 v.110
o10007829	50	2011-07-22	318.02	usd225.80	0038433	2011-07-13	\N	\N	1	2011 v.109
o10007829	49	2010-03-24	276.3	gbp128.20	0355936	2010-03-07	2009-01-01	2009-12-31	1	2009 V 104           !38386275
o10007829	48	2009-11-11	314.63	gbp136.30	0317739	2009-10-25	2009-01-01	2009-12-31	1	2009 V 102           !38386275
o10007829	47	2009-11-11	313.13	gbp135.65	0317739	2009-10-25	2009-01-01	2009-12-31	1	2009 V 101           !38386275
o10007829	46	2009-11-11	310.57	gbp134.54	0317739	2009-10-25	2008-01-01	2008-12-31	1	2008 V 100           !38386275
o10007829	45	2009-11-11	312	gbp135.16	0317739	2009-10-25	2008-01-01	2008-12-31	1	2008 V 99            !38386275
o10007829	44	2009-11-11	313.16	gbp135.66	0317739	2009-10-25	2008-01-01	2008-12-31	1	2008 V 97            !38386275
o10007829	43	2009-11-11	314.17	gbp136.10	0317739	2009-10-25	2007-01-01	2007-12-31	1	2007 V 95            !38386275
o10007829	42	2009-04-28	387.85	gbp148.43	0275796	2009-04-05	2008-01-01	2008-12-31	1	2008 V 98            !38386275
o10007829	41	2008-04-03	349.48	gbp136.65	6200169012	2008-03-09	\N	\N	1	2007 v.96
o10007829	40	2008-04-03	-136.65		0169012	2008-03-09	\N	\N	1	currency error\
o10007829	39	2008-04-02	136.65		0169012	2008-03-09	\N	\N	1	2007 V 96            !38386275\
o10007829	38	2007-10-19	309.59	gbp116.32	6200112522	2007-10-07	\N	\N	1	2007 v.94
o10007829	37	2007-08-07	322.7	gbp119.95	0098128	2007-07-08	\N	\N	1	2007 V 93
o10007829	36	2007-02-27	302.81	gbp107.59	0055651	2007-02-11	\N	\N	1	2006 V 92            !383
o10007829	35	2006-12-12	281.25	gbp97.31	6515017574	2006-12-03	\N	\N	1	2006 v.91
o10007829	34	2006-08-16	316.54	gbp104.55	6873172	2006-08-09	\N	\N	1	2006 V 90            !383
o10007829	33	2006-08-02	389.68	gbp127.00	6832640	2006-06-08	\N	\N	1	2006 v.89
o10007829	32	2006-05-24	357.12	gbp115.85	6807499	2006-05-10	\N	\N	1	2005 V 88            !383
o10007829	31	2005-12-12	262.14	gbp103.60	6147012	2005-12-07	\N	\N	1	2004 V 83            !383
o10007829	30	2005-12-01	270.36	gbp108.36	6114406	2005-11-22	\N	\N	1	2004 V 84            !383
o10007829	29	2005-10-17	259.75	gbp100.81	6060092	2005-10-12	\N	\N	1	2005 V 87            !383
o10007829	28	2005-06-15	260.82	gbp100.29	5844799	2005-06-08	\N	\N	1	2005 V 86            !383
o10007829	27	2005-02-21	267.78	gbp100.82	5685247	2005-02-09	\N	\N	1	2004 V 85            !383
o10007829	26	2004-05-12	305.25	gbp102.75	4741601	2004-05-05	\N	\N	1	2004 V 82            !383
o10007829	25	2004-03-10	290.65	gbp104.84	4661023	2004-03-03	\N	\N	1	2003 V 81            !383
o10007829	24	2002-10-03	484.04	usd224.51	2640337	2002-09-17	\N	\N	1	2002 V 80            !383
o10007829	23	2002-05-14	304.49	usd135.09	2784384	2002-05-03	\N	\N	1	2001 V 79            !383
o10007829	22	2001-10-11	323.47	usd131.76	1897135	2001-09-28	\N	\N	1	2001 V 78            !383
o10007829	21	2001-06-14	304.99	usd123.23	1821295	2001-06-05	\N	\N	1	2001 V 77            !383
o10007829	20	2000-12-13	299.96	usd125.19	1091008	2000-12-05	\N	\N	1	10 Nov 2000 - 9 Nov 2!383
o10007829	19	2000-12-11	256.49	usd108.04	1060447	2000-11-07	\N	\N	1	2000 V 75            !383
o10007829	18	2000-03-29	208.79	usd100.68	0720325	2000-03-08	\N	\N	1	2000 V 74            !383
o10007829	17	1999-10-01	206.44	usd106.50	0027574	1999-09-13	\N	\N	1	1999 V 73            !383
o10007829	16	1999-07-13	197.22	usd103.99	9802090	1999-06-29	\N	\N	1	1999 V 72            !383
o10007829	15	1999-03-25	190.35	usd98.47	9711330	1999-03-05	\N	\N	1	1999 V 71            !3838
o10007829	14	1998-11-17	221.96	usd115.82	9067221	1998-11-05	\N	\N	1	1998 V 70            !383
o10007829	13	1998-10-08	227.59	usd112.45	S9.013-164	1998-09-11	\N	\N	1	v.69 1998
o10007829	12	1998-06-18	207.97	usd108.52	S8.707-910	1998-05-15	\N	\N	1	1998 v.68
o10007829	11	1998-03-16	186.87	usd108.07	8149093	1998-02-10	\N	\N	1	1997 Volume 67
o10007829	10	1998-01-30	205.69	usd115.50	8107396	1998-01-12	\N	\N	1	1997 Volume 66
o10007829	9	1997-10-22	152.9	usd97.06	8014493	1997-09-05	\N	\N	1	1997 Volume 65
o10007829	8	1997-08-21	179.89	usd114.28	S7.168-933	1997-06-27	\N	\N	1	v.64 1997
